"painel","categoria","tecnologia","secao","gene"
"Painel de DNA tumores sólidos","Somático","DNA","Whole CDS","BRCA1"
"Painel de DNA tumores sólidos","Somático","DNA","Whole CDS","BRCA2"
"Painel de DNA tumores sólidos","Somático","DNA","Whole CDS","ERBB2"
"Painel de DNA tumores sólidos","Somático","DNA","Whole CDS","KRAS"
"Painel de DNA tumores sólidos","Somático","DNA","Whole CDS","PIK3CA"
"Painel de DNA tumores sólidos","Somático","DNA","Whole CDS","VHL"
"Painel de DNA tumores sólidos","Somático","DNA","Whole CDS","CDKN2A"
"Painel de DNA tumores sólidos","Somático","DNA","Whole CDS","TP53"
"Painel de DNA tumores sólidos","Somático","DNA","Whole CDS","MLH1"
"Painel de DNA tumores sólidos","Somático","DNA","Whole CDS","MSH2"
"Painel de DNA tumores sólidos","Somático","DNA","Whole CDS","MSH6"
"Painel de DNA tumores sólidos","Somático","DNA","Whole CDS","PMS2"
"Painel de DNA tumores sólidos","Somático","DNA","Whole CDS","EGFR"
"Painel de DNA tumores sólidos","Somático","DNA","Whole CDS","FGFR2"
"Painel de DNA tumores sólidos","Somático","DNA","Whole CDS","FGFR3"
"Painel de DNA tumores sólidos","Somático","DNA","Whole CDS","MET"
"Painel de DNA tumores sólidos","Somático","DNA","Whole CDS","ATM"
"Painel de DNA tumores sólidos","Somático","DNA","Whole CDS","PALB2"
"Painel de DNA tumores sólidos","Somático","DNA","Whole CDS","PTEN"
"Painel de DNA tumores sólidos","Somático","DNA","Whole CDS","RB1"
"Painel de DNA tumores sólidos","Somático","DNA","Whole CDS","CCND1"
"Painel de DNA tumores sólidos","Somático","DNA","Whole CDS","CDK4"
"Painel de DNA tumores sólidos","Somático","DNA","Whole CDS","CDK6"
"Painel de DNA tumores sólidos","Somático","DNA","Whole CDS","FGF19"
"Painel de DNA tumores sólidos","Somático","DNA","Whole CDS","FGF3"
"Painel de DNA tumores sólidos","Somático","DNA","Whole CDS","FGF4"
"Painel de DNA tumores sólidos","Somático","DNA","Whole CDS","MYC"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","ALK"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","FLT3"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","IDH1"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","IDH2"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","NRAS"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","NTRK1"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","NTRK2"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","NTRK3"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","ESR1"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","HRAS"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","BRAF"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","FGFR1"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","RET"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","ROS1"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","KIT"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","PDGFRA"
