"painel","categoria","tecnologia","secao","gene"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","ABL1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","AKT1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","AKT2"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","AKT3"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","ALK"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","AR"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","ARAF"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","ARHGAP26"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","ATF1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","AXL"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","BCL2"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","BCOR"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","BCR"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","BRAF"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","BRCA1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","BRCA2"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","BRD3"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","BRD4"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","CAMTA1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","CCDC6"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","CCNB3"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","CD274"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","CD74"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","CDK4"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","CIC"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","CLDN18"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","CLTC"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","COL1A1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","CREB1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","CREB3L2"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","CRTC1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","CSF1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","CSF1R"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","DDIT3"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","DUX4"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","EGFR"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","EML4"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","EPC1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","ERBB2"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","ERBB3"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","ERBB4"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","ERG"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","ESR1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","ETS1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","ETV1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","ETV4"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","ETV5"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","ETV6"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","EWSR1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","EZR"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","FEV"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","FGFR1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","FGFR2"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","FGFR3"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","FGFR4"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","FLI1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","FLT1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","FLT3"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","FOSB"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","FOXO1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","FUS"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","GLI1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","GREB1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","HMGA2"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","HTR4"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","IGF2BP3"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","JAK2"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","JAZF1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","KDR"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","KIAA1549"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","KIF5B"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","KIT"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","KMT2A"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","MAML2"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","MBTD1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","MEAF6"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","MET"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","MIR143"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","MITF"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","MLLT3"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","MRTFB（MKL2)"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","MSH2"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","MYB"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","MYC"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","MYCL"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NAB2"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NCOA1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NCOA2"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NCOA3"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NCOA4"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NOTCH1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NOTCH2"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NOTCH3"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NPM1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NR4A3"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NRG1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NTRK1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NTRK2"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NTRK3"
